epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.94,1.85872,2.22243,1.59663,0.66116,0.54184,0.58536,0.25137,1.95111,1.79512,1.50138,0.0005,0.0005,0.0005
2,315.194,1.587,1.3344,1.46152,0.54824,0.45586,0.48737,0.17965,2.05128,1.76343,1.65625,0.000999804,0.000999804,0.000999804
3,469.836,1.52321,1.24486,1.43625,0.4861,0.62279,0.53132,0.24127,1.85286,1.75933,1.52379,0.00147902,0.00147902,0.00147902
4,621.506,1.4906,1.20468,1.41409,0.54966,0.626,0.54205,0.24348,1.84346,1.36827,1.55554,0.0018812,0.0018812,0.0018812
5,770.769,1.4253,1.12243,1.37348,0.71487,0.71231,0.73773,0.37803,1.58434,1.29098,1.44528,0.0018416,0.0018416,0.0018416
6,923.48,1.37164,1.10174,1.34711,0.66504,0.74157,0.72851,0.36356,1.68218,1.29592,1.41529,0.001802,0.001802,0.001802
7,1077.85,1.38374,1.08594,1.31944,0.71652,0.69663,0.7113,0.33879,1.79782,1.28642,1.39881,0.0017624,0.0017624,0.0017624
8,1230.53,1.36245,1.07274,1.32864,0.75069,0.7153,0.79233,0.41495,1.54849,1.16218,1.35233,0.0017228,0.0017228,0.0017228
9,1381.28,1.29076,1.02617,1.28426,0.74673,0.77368,0.81778,0.47732,1.38925,1.1756,1.29052,0.0016832,0.0016832,0.0016832
10,1532.18,1.27626,1.00333,1.27948,0.70555,0.75923,0.75867,0.42372,1.48117,1.11908,1.29573,0.0016436,0.0016436,0.0016436
11,1683.35,1.26368,1.00365,1.25909,0.78642,0.78973,0.83821,0.47899,1.46573,1.03806,1.25902,0.001604,0.001604,0.001604
12,1833.28,1.23645,0.95961,1.24397,0.76961,0.79354,0.82113,0.48511,1.34868,1.00177,1.24314,0.0015644,0.0015644,0.0015644
13,1983.53,1.19958,0.95572,1.23624,0.79396,0.74318,0.83719,0.51649,1.33855,1.00207,1.21799,0.0015248,0.0015248,0.0015248
14,2132.39,1.17849,0.94372,1.22316,0.78201,0.7428,0.78535,0.43124,1.56779,1.16375,1.26826,0.0014852,0.0014852,0.0014852
15,2282.31,1.17594,0.91234,1.21462,0.80834,0.76498,0.83475,0.50449,1.34313,1.0423,1.23667,0.0014456,0.0014456,0.0014456
16,2434,1.13701,0.8937,1.20584,0.77961,0.81195,0.85191,0.55249,1.23823,0.97776,1.16902,0.001406,0.001406,0.001406
17,2583.04,1.14334,0.88573,1.1971,0.77816,0.78331,0.82699,0.47891,1.38316,1.00875,1.19983,0.0013664,0.0013664,0.0013664
18,2732.65,1.13156,0.88134,1.18412,0.78574,0.79468,0.83801,0.52587,1.26532,0.99119,1.16632,0.0013268,0.0013268,0.0013268
19,2880.59,1.13367,0.88057,1.19514,0.84167,0.81912,0.88152,0.56816,1.24141,0.95152,1.19124,0.0012872,0.0012872,0.0012872
20,3029.25,1.11996,0.8541,1.17979,0.79079,0.79936,0.85127,0.53072,1.24443,1.00135,1.16808,0.0012476,0.0012476,0.0012476
21,3177.12,1.10075,0.85579,1.17861,0.79641,0.79615,0.8439,0.49846,1.31543,0.99251,1.18192,0.001208,0.001208,0.001208
22,3327.46,1.12373,0.86698,1.18598,0.81756,0.83307,0.87425,0.5653,1.19896,0.90022,1.15902,0.0011684,0.0011684,0.0011684
23,3479.89,1.09797,0.8575,1.16801,0.81583,0.82481,0.87804,0.56938,1.23146,0.89817,1.15236,0.0011288,0.0011288,0.0011288
24,3630.32,1.07642,0.81415,1.16459,0.84491,0.81324,0.87985,0.59433,1.13124,0.87211,1.13414,0.0010892,0.0010892,0.0010892
25,3779.94,1.07902,0.82772,1.17065,0.83648,0.79936,0.88442,0.51827,1.43543,0.9125,1.16125,0.0010496,0.0010496,0.0010496
26,3936.14,1.09256,0.81114,1.16335,0.86545,0.8138,0.89087,0.56436,1.26123,0.88936,1.12115,0.00101,0.00101,0.00101
27,4090.51,1.02826,0.7845,1.14046,0.83981,0.84751,0.8864,0.59308,1.14275,0.83903,1.07435,0.0009704,0.0009704,0.0009704
28,4240.14,1.02141,0.78123,1.13947,0.86144,0.80738,0.89,0.60471,1.0862,0.83164,1.07782,0.0009308,0.0009308,0.0009308
29,4390.13,0.98755,0.76324,1.1249,0.78853,0.84993,0.89109,0.60857,1.10773,0.87918,1.08113,0.0008912,0.0008912,0.0008912
30,4541.18,1.02901,0.784,1.1309,0.83015,0.8316,0.88261,0.57139,1.18385,0.87947,1.07546,0.0008516,0.0008516,0.0008516
31,4692.41,1.00226,0.76643,1.12447,0.87174,0.85714,0.89691,0.61229,1.06663,0.79844,1.07042,0.000812,0.000812,0.000812
32,4842.99,1.01222,0.7523,1.12441,0.84755,0.82988,0.8729,0.60478,1.06322,0.81709,1.06192,0.0007724,0.0007724,0.0007724
33,4990.86,0.99551,0.75596,1.11963,0.85828,0.85393,0.89717,0.60681,1.10721,0.81651,1.05636,0.0007328,0.0007328,0.0007328
34,5141.9,0.98501,0.73154,1.1177,0.83328,0.85037,0.89349,0.62644,1.05546,0.81519,1.07302,0.0006932,0.0006932,0.0006932
35,5297.11,0.98648,0.74865,1.12006,0.84886,0.85554,0.89309,0.62101,1.07621,0.80664,1.07152,0.0006536,0.0006536,0.0006536
36,5453.45,0.97078,0.725,1.1071,0.88005,0.84794,0.90629,0.62684,1.03951,0.77362,1.05005,0.000614,0.000614,0.000614
37,5612.24,0.95089,0.72473,1.0972,0.85799,0.85554,0.90013,0.619,1.07548,0.79335,1.04396,0.0005744,0.0005744,0.0005744
38,5767.38,0.97089,0.72222,1.10234,0.8814,0.84693,0.90662,0.63787,1.04945,0.76364,1.03632,0.0005348,0.0005348,0.0005348
39,5919.37,0.93255,0.70045,1.09465,0.86331,0.85233,0.90868,0.61949,1.10876,0.79115,1.03929,0.0004952,0.0004952,0.0004952
40,6067.21,0.934,0.70818,1.09928,0.87538,0.85691,0.90404,0.64197,0.9964,0.77396,1.02595,0.0004556,0.0004556,0.0004556
41,6218.01,0.97054,0.81851,1.11552,0.84205,0.83467,0.88691,0.60558,1.05228,0.87813,1.06339,0.000416,0.000416,0.000416
42,6362.65,0.95767,0.75788,1.10611,0.86303,0.83943,0.90821,0.63582,1.0206,0.80184,1.02858,0.0003764,0.0003764,0.0003764
43,6507.58,0.93654,0.73588,1.0928,0.87051,0.87961,0.91384,0.65709,0.96154,0.75927,1.01698,0.0003368,0.0003368,0.0003368
44,6656.07,0.92281,0.71447,1.08056,0.89793,0.84591,0.91199,0.65248,0.97318,0.76954,1.03075,0.0002972,0.0002972,0.0002972
45,6813.71,0.92796,0.71278,1.08835,0.87409,0.87159,0.92394,0.65292,1.00799,0.73897,1.0344,0.0002576,0.0002576,0.0002576
46,6963.3,0.90357,0.69306,1.07838,0.92288,0.85233,0.92263,0.66808,0.94989,0.71929,1.01877,0.000218,0.000218,0.000218
47,7108.38,0.88432,0.67877,1.07323,0.90868,0.85875,0.92619,0.67997,0.92114,0.71493,1.0158,0.0001784,0.0001784,0.0001784
48,7253.42,0.87119,0.67699,1.0644,0.89336,0.8764,0.92104,0.66345,0.96242,0.73293,1.00747,0.0001388,0.0001388,0.0001388
49,7398.43,0.85693,0.667,1.06239,0.88225,0.8779,0.92159,0.6823,0.90607,0.70512,1.00089,9.92e-05,9.92e-05,9.92e-05
50,7543.16,0.85428,0.66154,1.0572,0.8935,0.87531,0.92248,0.67218,0.94379,0.7118,1.00375,5.96e-05,5.96e-05,5.96e-05
