hidden_dim,dropout,batch_size,learning_rate,avg_similarity_score
512,0.1,32,0.001,0.083371796
512,0.1,32,0.0001,0.010973678
512,0.1,64,0.001,0.032222115
512,0.1,64,0.0001,0.021750728
512,0.3,32,0.001,0.0562571
512,0.3,32,0.0001,0.046581246
512,0.3,64,0.001,0.014465247
512,0.3,64,0.0001,0.01095962
512,0.5,32,0.001,0.08523137
512,0.5,32,0.0001,0.08085418
512,0.5,64,0.001,0.082479
512,0.5,64,0.0001,0.03938251
1024,0.1,32,0.001,0.05903117
1024,0.1,32,0.0001,0.09288918
1024,0.1,64,0.001,0.06871553
1024,0.1,64,0.0001,0.07344089
1024,0.3,32,0.001,0.056452356
1024,0.3,32,0.0001,0.05747529
1024,0.3,64,0.001,0.073388435
1024,0.3,64,0.0001,0.07217468
1024,0.5,32,0.001,0.080809936
1024,0.5,32,0.0001,0.06823829
1024,0.5,64,0.001,0.026048318
1024,0.5,64,0.0001,0.08141194
2048,0.1,32,0.001,0.05662971
2048,0.1,32,0.0001,0.08371065
2048,0.1,64,0.001,0.049563754
2048,0.1,64,0.0001,0.120994166
2048,0.3,32,0.001,0.034060873
2048,0.3,32,0.0001,0.06814144
2048,0.3,64,0.001,0.053761084
2048,0.3,64,0.0001,0.06431852
2048,0.5,32,0.001,0.06579629
2048,0.5,32,0.0001,0.031580888
2048,0.5,64,0.001,0.025791612
2048,0.5,64,0.0001,0.084693335
